Year,Area,Value,lon,lat
2005,Alor Gajah,NA,102.1979224769679,2.3834383243094655
2005,Batu Pahat,NA,103.03651823435946,1.9253161881352923
2005,Besut,NA,102.5165548255816,5.592496148513997
2005,Bintulu,42.98314606741573,113.4643827049997,3.161374155663838
2005,Jerantut,41.58469945355191,102.55583116571206,4.257283554340091
2005,Kapit,27.719101123595507,113.5124738593169,1.841994069359952
2005,Kemaman,32.64673913043478,103.22607118177245,4.275729149898475
2005,Keningau,26.63125,116.235210531765,5.253512158027202
2005,Klang,48.61538461538461,101.38468603760631,3.0309401772397053
2005,Kota Bharu,32.95108695652174,102.26540134582463,6.0431800118057675
2005,Kota Kinabalu,28.41111111111111,116.16124699448338,6.008151152151239
2005,Kota Tinggi,50.57222222222222,103.9481044360017,1.7648911239531757
2005,Kuala Selangor,49.37362637362637,101.32683495745584,3.3888869544822664
2005,Kuala Terengganu,38.59239130434783,103.03199254228551,5.340495570132848
2005,Kuching,38.53804347826087,110.32774503616919,1.430255494852472
2005,Kulim,NA,100.64879046435199,5.401302438711189
2005,Labuan,28.065217391304348,115.21779042654252,5.30907319055571
2005,Langkawi,36.994565217391305,99.79176518355548,6.346051104610368
2005,Limbang,22.40782122905028,115.12581873479897,4.297707878503285
2005,Miri,28.482758620689655,113.83009255767992,3.872786700204331
2005,Muar,38.32065217391305,102.784470961642,2.1235410179755476
2005,Mukah,NA,112.36852928091876,2.827111406398952
2005,Port Dickson,NA,101.89188727707598,2.534686195212239
2005,Putrajaya,39.994505494505496,101.68379629061687,2.905215067905225
2005,Rompin,NA,103.1129574763459,2.8677544914379762
2005,Samarahan,38.92265193370166,110.4991036212275,1.4499356637704581
2005,Sandakan,38.25,117.99163300648534,5.766036621925741
2005,Sarikei,40.89655172413793,111.4572208036536,2.0529090715680454
2005,Segamat,NA,102.9643149327574,2.480307404961934
2005,Seremban,39.84615384615385,101.91826357112382,2.7518125840143757
2005,Sibu,36.71195652173913,111.90045643797691,2.304085541836012
2005,Sri Aman,30.071428571428573,111.50957152993533,1.2550577881827913
2005,Tanah Merah,34.48314606741573,102.03619054808736,5.752417313036922
2005,Tawau,49.91847826086956,117.63851896977503,4.483228351309785
2005,Temerloh,NA,102.26564756198214,3.5910977416483174
2006,Alor Gajah,NA,102.1979224769679,2.3834383243094655
2006,Batu Pahat,NA,103.03651823435946,1.9253161881352923
2006,Besut,NA,102.5165548255816,5.592496148513997
2006,Bintulu,48.58126721763085,113.4643827049997,3.161374155663838
2006,Jerantut,42.72275862068965,102.55583116571206,4.257283554340091
2006,Kapit,37.41863699582754,113.5124738593169,1.841994069359952
2006,Kemaman,44.114893617021274,103.22607118177245,4.275729149898475
2006,Keningau,42.178082191780824,116.235210531765,5.253512158027202
2006,Klang,56.38219178082192,101.38468603760631,3.0309401772397053
2006,Kota Bharu,39.204166666666666,102.26540134582463,6.0431800118057675
2006,Kota Kinabalu,40.84349030470914,116.16124699448338,6.008151152151239
2006,Kota Tinggi,56.705234159779614,103.9481044360017,1.7648911239531757
2006,Kuala Selangor,59.52624309392265,101.32683495745584,3.3888869544822664
2006,Kuala Terengganu,49.1,103.03199254228551,5.340495570132848
2006,Kuching,48.02066115702479,110.32774503616919,1.430255494852472
2006,Kulim,NA,100.64879046435199,5.401302438711189
